陳情內容,公務員輸入,擬答內容,,反面案例原因
桃園市區有幾個地方裝了智慧路燈，但我家附近中壢區環中東路段的路燈常常一整排不亮，我晚上出門很不安全，已經反映快兩個月了還是沒改善，麻煩處理一下。,智慧城鄉發展委員會：已遠端確認該路段6盞智慧路燈感測器異常，排定本週五前完成韌體更新與現場檢修。,"有關您反映中壢區環中東路智慧路燈故障乙案，經交由本府智慧城鄉發展委員會說明如下：

本會已透過智慧路燈管理平台遠端診斷，確認該路段共6盞路燈感測模組發生異常，將於本週五前派員進行韌體更新及現場檢修作業，修復後系統將自動回報正常狀態。

造成您出行不便，深感抱歉，感謝您的通報協助本市維護智慧基礎建設品質。

謝謝您的指教　敬祝　安康
桃園市政府智慧城鄉發展委員會主任委員　廖修武　敬上",,
我想問一下桃園市的「桃園通」App最近更新後，我的搭乘紀錄和點數都消失了，客服電話打不通，想知道點數還找得回來嗎？,智慧城鄉發展委員會：系統更新時資料遷移有誤，技術團隊已修復，點數將於3個工作天內還原，可重新登入確認。,"有關您反映桃園通App點數遺失問題乙案，經交由本府智慧城鄉發展委員會說明如下：

本次App版本更新過程中，部分用戶帳號資料遷移發生異常，造成搭乘紀錄及點數顯示錯誤，技術團隊已於第一時間完成修復，您的點數資料均已保存完整，請重新登入後確認，若仍有異常請來信告知帳號，本會將協助人工補正。

造成您的困擾，深感抱歉。

謝謝您的指教　敬祝　安康
桃園市政府智慧城鄉發展委員會主任委員　廖修武　敬上",,
桃園火車站附近有免費市府Wi-Fi，但連上之後速度超慢，下載速度只有0.3Mbps，根本無法使用。建議市府升級設備或增加頻寬，謝謝。,智慧城鄉發展委員會：該熱點頻寬已列入第三季擴充計畫，預計8月底前完成設備升級，屆時速率目標提升至50Mbps。,"有關您反映桃園車站周邊免費Wi-Fi速率不佳乙案，經交由本府智慧城鄉發展委員會說明如下：

感謝您寶貴的建議，本會已掌握該熱點流量負載情況，相關設備擴充已列入本年度第三季建置計畫，預計8月底前完成頻寬升級，目標服務速率將提升至50Mbps以上，屆時將能提供更穩定的連線品質。

謝謝您的指教　敬祝　安康
桃園市政府智慧城鄉發展委員會主任委員　廖修武　敬上",,
平鎮區的智慧停車格感應器一直顯示「有車」，但那個位置根本是空的，害我APP找不到停車位，浪費很多時間。,智慧城鄉發展委員會：已遠端確認感測器訊號異常，將於48小時內派員更換設備，暫時將該車格標記為停用。,"有關您反映平鎮區智慧停車格感測器顯示異常乙案，本府收悉，說明如下：

建議您向該路段主管機關反映，或逕洽停車場管理單位處理。如仍有疑問，歡迎再次來信。

謝謝您的指教　敬祝　安康
桃園市政府智慧城鄉發展委員會主任委員　廖修武　敬上",,推給其他單位、未正面回應已知問題
我家附近八德區的公園溜滑梯底部有好幾塊地板破裂翹起來，邊緣很銳利，上週我小孩玩的時候膝蓋被割傷，請市府盡快維修，避免其他小孩受傷。,工務局：已派員勘查，確認破損面積達須更換標準，材料已申購，預計兩週內完成更換。,"有關您反映八德區公園遊具損壞乙案，經交由本府工務局處理說明如下：

本局接獲通報後已立即派員現場勘查，確認溜滑梯底部地板損壞情況達需全面更換之標準，目前已啟動材料申購程序，並於現場設置警示圍籬以保護兒童安全，預計兩週內完成更換作業。

很抱歉造成您小孩受傷，若孩子需要後續協助，歡迎再與本局聯繫。

謝謝您的指教　敬祝　安康
桃園市政府工務局　敬上",,
龜山區一帶最近出現很多流浪狗，早上我去早市買菜的路上被三隻狗追，旁邊還有老人跌倒。這個情況已經持續一個月了，請市府趕快來處理捕捉！,動物保護處：已安排本週三、五派員前往巡查捕捉，並聯繫轄區里長協助通報犬隻聚集地點。,"有關您反映龜山區流浪犬危害公共安全乙案，經交由本府動物保護處處理說明如下：

本處已將您反映地點列為優先巡查路線，安排本週三及週五派員前往執行捕捉作業，並已函請轄區里長協助提供犬隻聚集位置資訊，以提升作業效率。如犬隻再度出現，亦可撥打本市動保專線通報，謝謝。

謝謝您的指教　敬祝　安康
桃園市政府動物保護處　敬上",,
中壢區中山路每天都有攤販佔用騎樓擺攤，導致行人必須走到馬路上，非常危險，我曾被機車擦撞過。已經這樣好幾年，請市府認真執法。,區公所：已知悉，將協調市場處及警察局於近期展開聯合稽查行動，並研議是否劃設合法攤販區。,"有關您反映中壢區中山路攤販佔用騎樓乙案，經交由本府中壢區公所處理說明如下：

本所已會知市場處及警察局，將於近期安排聯合稽查行動，針對違規佔用騎樓之攤販依法開罰，並研議規劃合法攤販聚集區域，從根本改善問題。造成您長期困擾，深感抱歉。

謝謝您的指教　敬祝　安康
桃園市政府中壢區公所　敬上",,
新屋區的水管昨晚突然爆管，整條街道都淹水，很多車子泡水，自來水也斷了，現在已經將近16小時了，請市府緊急搶修！,水務局：搶修隊已於今日凌晨2時抵達現場，預計下午3時完成修復通水，受損路面將另行安排復原。,"有關您反映新屋區水管爆管緊急搶修乙案，經交由本府水務局處理說明如下：

本局接獲通報後已立即派遣搶修隊伍於今日凌晨2時抵達現場，目前搶修作業持續進行中，預計下午3時完成管線修復及恢復供水，周邊積水路面之復原工程亦將同步安排辦理。

很抱歉造成您及周邊居民極大的不便。

謝謝您的指教　敬祝　安康
桃園市政府水務局　敬上",,
我想檢舉桃園區南平路的傳統市場，幾乎每天都有攤商在市場旁邊的排水溝直接清洗魚類內臟，氣味非常難聞，感覺也不衛生，請衛生局來查。,衛生局：已安排稽查人員本週內赴現場稽查，若違反食品安全衛生管理法相關規定將依法處辦。,"有關您反映桃園區南平路市場衛生問題乙案，經交由本府衛生局處理說明如下：

本局已指派稽查人員排定本週內赴現場執行衛生稽查，若確認攤商有不符合食品安全衛生管理法規定之情事，將依法裁處並要求限期改善。

感謝您協助市府維護公共衛生環境，如後續仍有異狀，歡迎再次通報。

謝謝您的指教　敬祝　安康
桃園市政府衛生局　敬上",,
我是蘆竹區某國小的家長，學校廁所門鎖壞了很多間，女生上廁所沒有安全感，我反映給老師，老師說已通報教務處，但過了三週還沒修，請教育局督促。,教育局：已電洽該校確認，廠商已排定本週四到校維修，共12間廁所門鎖將全面更換。,"有關您反映蘆竹區國小廁所門鎖損壞問題乙案，經交由本府教育局處理說明如下：

本局已立即聯繫該校確認情況，廠商已排定本週四赴校進行維修，本次將針對全校12間廁所門鎖進行全面更換，以確保學童如廁安全。

造成學生長期不便，深感抱歉，本局亦將持續督促各校落實設施定期檢查機制。

謝謝您的指教　敬祝　安康
桃園市政府教育局　敬上",,
觀音區工業區內有一家工廠最近幾乎每天下午都冒出大量黃色濃煙，我家在下風處，孩子已經咳嗽一週了，請環保局來查！,環境保護局：已掌握陳情人描述之廠商，安排本週緊急稽查，並要求業者提供製程說明，若確認排放超標將立即開罰。,"有關您反映觀音區工廠異常排放空氣污染物乙案，經交由本府環境保護局處理說明如下：

本局依您所提供資訊已鎖定疑似排放來源，將於本週安排稽查人員赴廠執行緊急稽查，並要求業者提出製程說明及污染防制設備檢測報告；若確認排放污染物超過管制標準，將依空氣污染防制法裁處，並要求立即停工改善。

謝謝您的指教　敬祝　安康
桃園市政府環境保護局　敬上",,
桃園區三民路上有一棵老榕樹，前幾天颱風後樹幹明顯傾斜了大約30度，目前還懸在人行道上方，走路經過很危險，請市府緊急處理！,工務局：已派員現勘，確認傾斜角度達緊急處置標準，今日下午將進行支撐固定及部分枝條修剪，並評估是否須移除。,"有關您反映桃園區三民路行道樹傾斜危及公共安全乙案，本府收悉，經交由工務局緊急處置說明如下：

本局已派員赴現場評估，確認該榕樹傾斜程度達緊急處置標準，今日下午將立即進行支撐架設及危險枝條修剪作業，同步進行根系狀況評估，以決定後續是否移除重植。現場已設置警示封閉，請附近居民暫勿靠近。

謝謝您的指教　敬祝　安康
桃園市政府工務局　敬上",,
我想詢問如何幫家人申請身心障礙手冊，我弟弟因為意外導致下肢行動困難，醫生說可以申請，但我不知道要帶什麼文件、去哪裡辦？,社會局：需備妥醫院鑑定報告、身分證、戶口名簿及近照，至戶籍所在地區公所社會課申辦，鑑定結果核定後核發手冊。,"有關您詢問身心障礙手冊申辦流程乙案，經交由本府社會局說明如下：

感謝您的來信，申辦身心障礙證明（手冊）所需備妥文件如下：
一、醫院開具之身心障礙鑑定報告（需由指定鑑定醫院開立）
二、申請人身分證正本
三、戶口名簿
四、近期一吋照片2張

請攜帶上述文件至弟弟戶籍所在地之區公所社會課辦理，經衛生福利部審核鑑定結果後，將核發身心障礙證明，流程約需4至8週。如需進一步協助，歡迎來電本局詢問。

謝謝您的指教　敬祝　安康
桃園市政府社會局　敬上",,
我想請問桃園市殯葬管理所的火化預約要怎麼辦理？家父昨天過世，我不知道流程，請幫忙說明。,殯葬管理所：需先取得死亡證明書及除戶謄本，再持證件至管理所窗口或線上申請火化許可，目前火化預約約需等待2至3個工作天。,"有關您詢問火化申辦流程乙案，本府殯葬管理所說明如下：

首先，請節哀順變。申辦火化程序如下：
一、請先至醫院或衛生所取得死亡診斷書，並至戶政事務所辦理死亡登記，取得除戶謄本。
二、備妥死亡診斷書、除戶謄本及申請人身分證，至本所服務窗口或透過線上申辦系統提出火化申請。
三、目前火化時程約需等待2至3個工作天，如有特殊情況可向本所說明，視情況協助安排。

如需進一步協助或有急迫需求，歡迎直接來電本所，同仁將竭誠協助。

謝謝您的指教　敬祝　安康
桃園市政府殯葬管理所　敬上",,
平鎮區介壽路上有一間檳榔攤，老闆會把廢水直接倒進路旁的雨水溝，每次下大雨附近就臭氣沖天，住附近很久了一直這樣，請市府來管！,環境保護局：逕流廢水排入雨水溝違反水污染防治法，已安排稽查人員於本週內赴現場蒐證，確認違規將依法開罰並要求改善。,"有關您反映平鎮區檳榔攤廢水污染雨水溝乙案，本府收悉，說明如下：

感謝市民來信，建議您可逕向環境部或內政部相關單位申訴，本府將轉達您的意見。如有其他問題，歡迎再次來信。

謝謝您的指教　敬祝　安康
桃園市政府　敬上",,推諉塞責、環保局明明有管轄權卻未受理
